# theta1 R1 theta2 R2 
0.094722 0.968514 0.094722 0.968431 
0.189444 0.961999 0.189444 0.961858 
0.284167 0.943694 0.284167 0.943487 
0.378891 0.92539 0.378891 0.925118 
0.473615 0.907245 0.473615 0.906911 
0.568341 0.889211 0.568341 0.888816 
0.663069 0.871241 0.663069 0.870787 
0.757798 0.853285 0.757798 0.852774 
0.852529 0.835296 0.852529 0.834729 
0.947263 0.817224 0.947263 0.816603 
1.042 0.799015 1.042 0.798341 
1.13674 0.780616 1.13674 0.779891 
1.23148 0.761967 1.23148 0.761192 
1.32623 0.743005 1.32623 0.74218 
1.42098 0.723659 1.42098 0.722787 
1.51573 0.703852 1.51573 0.702934 
1.61049 0.683497 1.61049 0.682535 
1.70525 0.662497 1.70525 0.661492 
1.80001 0.640739 1.80001 0.639694 
1.89478 0.618097 1.89478 0.617014 
1.98956 0.594423 1.98956 0.593305 
2.08434 0.569547 2.08434 0.568399 
2.17913 0.543276 2.17913 0.542101 
2.27392 0.51539 2.27392 0.514195 
2.36872 0.485649 2.36872 0.484442 
2.46353 0.453809 2.46353 0.452601 
2.55834 0.419662 2.55834 0.418465 
2.65316 0.383117 2.65316 0.381949 
2.74799 0.344346 2.74799 0.343223 
2.84283 0.30398 2.84283 0.302919 
2.93767 0.263267 2.93767 0.26228 
3.03252 0.223993 3.03252 0.223081 
3.12738 0.188012 3.12738 0.18717 
3.22225 0.156637 3.22225 0.155854 
3.31712 0.130314 3.31712 0.129581 
3.41201 0.10875 3.41201 0.10806 
3.5069 0.0912807 3.5069 0.0906296 
3.60181 0.0771962 3.60181 0.0765803 
3.69672 0.065772 3.69672 0.0651895 
3.79165 0.0564017 3.79165 0.0558514 
3.88658 0.0487559 3.88658 0.048234 
3.98153 0.042482 3.98153 0.0419859 
4.07648 0.0371346 4.07648 0.0366657 
4.17145 0.0325968 4.17145 0.0321531 
4.26643 0.028915 4.26643 0.0284907 
4.36142 0.0257903 4.36142 0.0253849 
4.45642 0.0229078 4.45642 0.0225253 
4.55144 0.0204274 4.55144 0.0200645 
4.64647 0.0185102 4.64647 0.0181594 
4.74151 0.0168275 4.74151 0.0164899 
4.83656 0.0150942 4.83656 0.0147762 
4.93163 0.0135675 4.93163 0.0132664 
5.02671 0.012499 5.02671 0.0122051 
5.12181 0.0115895 5.12181 0.0113029 
5.21691 0.0104937 5.21691 0.0102235 
5.31204 0.00942603 5.31204 0.00917248 
5.40718 0.00874812 5.40718 0.00850024 
5.50233 0.00829443 5.50233 0.00804791 
5.5975 0.00764223 5.5975 0.00740673 
5.69268 0.00683291 5.69268 0.00661487 
5.78788 0.00628356 5.78788 0.00607381 
5.88309 0.00606138 5.88309 0.0058493 
5.97833 0.00576427 5.97833 0.00555523 
6.07357 0.00518847 6.07357 0.00499484 
6.16884 0.00465253 6.16884 0.00447259 
6.26412 0.00446041 6.26412 0.00427999 
6.35942 0.00440458 6.35942 0.00421942 
6.45474 0.00410627 6.45474 0.00392891 
6.55007 0.00361788 6.55007 0.00345741 
6.64543 0.0033244 6.64543 0.00317129 
6.7408 0.00332755 6.7408 0.00316787 
6.83619 0.0032928 6.83619 0.00312991 
6.9316 0.0029777 6.9316 0.00282709 
7.02703 0.00259911 7.02703 0.00246406 
7.12248 0.00248504 7.12248 0.00235087 
7.21795 0.0025707 7.21795 0.00242687 
7.31344 0.00250793 7.31344 0.00236418 
7.40894 0.00219727 7.40894 0.0020688 
7.50447 0.0019269 7.50447 0.00181103 
7.60003 0.00192874 7.60003 0.00180836 
7.6956 0.00203498 7.6956 0.00190408 
7.79119 0.00193923 7.79119 0.00181196 
7.88681 0.00165175 7.88681 0.0015413 
7.98244 0.00147246 7.98244 0.00137109 
8.0781 0.00154176 8.0781 0.00143185 
8.17379 0.00164076 8.17379 0.00152075 
8.26949 0.00152131 8.26949 0.00140811 
8.36522 0.0012658 8.36522 0.00116987 
8.46097 0.00115622 8.46097 0.00106597 
8.55675 0.00126099 8.55675 0.00115935 
8.65255 0.00134352 8.65255 0.00123281 
8.74837 0.00121123 8.74837 0.00110988 
8.84422 0.00098878 8.84422 0.000904535 
8.9401 0.000929427 8.9401 0.000847865 
9.036 0.00105041 9.036 0.000955503 
9.13192 0.00111595 9.13192 0.00101315 
9.22787 0.000979249 9.22787 0.000887773 
9.32385 0.000786754 9.32385 0.000711933 
9.41985 0.000762053 9.41985 0.000687445 
9.51588 0.000888508 9.51588 0.000799174 
9.61194 0.000939927 9.61194 0.000843784 
9.70803 0.000804314 9.70803 0.000720967 
9.80414 0.000637005 9.80414 0.000569823 
9.90028 0.000635343 9.90028 0.000566412 
9.99645 0.00076174 9.99645 0.000677058 
10.0926 0.000802791 10.0926 0.000712141 
10.1889 0.000671439 10.1889 0.000594695 
